"species","lon","lat"
"Harpia harpyja",-40.72053,-20.44208
"Harpia harpyja",-40.06748,-19.17202
"Harpia harpyja",-55.52124,-11.90397
"Harpia harpyja",-47.3536,-2.9913
"Harpia harpyja",-55.1128,5.06222
"Harpia harpyja",-52.52765,4.03403
"Harpia harpyja",-55.463,-11.90279
"Harpia harpyja",-52.68018,4.08753
"Harpia harpyja",-56.24197,-16.74237
"Harpia harpyja",-40.02841,-19.00211
"Harpia harpyja",-55.82782,-9.49933
"Harpia harpyja",-50.14744,-6.06105
"Harpia harpyja",-50.02773,-6.153
"Harpia harpyja",-68.66096,-12.7423
"Harpia harpyja",-70.22063,-4.36701
"Harpia harpyja",-60.72754,2.75256
"Harpia harpyja",-55.84365,-9.75312
"Harpia harpyja",-50.08304,-6.08215
"Harpia harpyja",-60.61698,2.64694
"Harpia harpyja",-53.26107,3.69234
"Harpia harpyja",-53.90449,3.5355
"Harpia harpyja",-53.41397,4.59457
"Harpia harpyja",-52.0676,4.47525
"Harpia harpyja",-53.30211,4.58764
"Harpia harpyja",-53.24865,4.67709
"Harpia harpyja",-53.11744,3.76701
"Harpia harpyja",-53.7546,5.15062
"Harpia harpyja",-52.19369,4.56617
"Harpia harpyja",-56.07738,-9.94909
"Harpia harpyja",-56.09607,-9.89169
"Harpia harpyja",-52.3073,4.7216
"Harpia harpyja",-52.7835,5.1154
"Harpia harpyja",-52.15049,4.19527
"Harpia harpyja",-53.21884,3.58007
"Harpia harpyja",-53.77619,2.37986
"Harpia harpyja",-59.9675,-2.85796
"Harpia harpyja",-67.75397,-10.06749
"Harpia harpyja",-69.49856,-12.86036
"Harpia harpyja",-70.19233,-12.55827
"Harpia harpyja",-56.3223,4.64918
"Harpia harpyja",-59.0091,4.1896
"Harpia harpyja",-70.3078,-4.30108
"Harpia harpyja",-59.89136,-2.99791
"Harpia harpyja",-40.04003,-19.06838
"Harpia harpyja",-49.34155,-6.79831
"Harpia harpyja",-56.8664,-15.185
"Harpia harpyja",-68.606,-13.7657
"Harpia harpyja",-59.86853,-3.05229
"Harpia harpyja",-58.76273,3.72462
"Harpia harpyja",-64.95164,-15.32121
"Harpia harpyja",-71.42789,-13.1042
"Harpia harpyja",-49.96186,-6.48705
"Harpia harpyja",-55.49589,4.65069
"Harpia harpyja",-56.14028,4.80781
"Harpia harpyja",-57.47772,-15.67223
"Harpia harpyja",-69.40876,-12.88277
"Harpia harpyja",-55.4359,4.643
"Harpia harpyja",-57.21162,4.41385
"Harpia harpyja",-55.92393,-9.63409
"Harpia harpyja",-55.97045,-9.44853
"Harpia harpyja",-56.86054,3.45089
"Harpia harpyja",-68.91214,-12.588
"Harpia harpyja",-39.1689,-16.3875
"Harpia harpyja",-56.70492,2.93249
"Harpia harpyja",-55.98068,-9.72411
"Harpia harpyja",-58.40972,-10.19039
"Harpia harpyja",-47.2533,-2.8982
"Harpia harpyja",-65.17242,-10.83527
"Harpia harpyja",-68.65379,-12.4107
"Harpia harpyja",-59.10965,4.19055
"Harpia harpyja",-39.87467,-19.07937
"Harpia harpyja",-51.48492,-1.63792
"Harpia harpyja",-51.4556,-1.7375
"Harpia harpyja",-54.9167,-3.4834
"Harpia harpyja",-52.3377,4.8084
"Harpia harpyja",-55.9,-9.9
"Harpia harpyja",-69.40713,-12.81407
"Harpia harpyja",-71.64855,-12.14765
"Harpia harpyja",-57.29774,4.57809
"Harpia harpyja",-39.04663,-16.24534
"Harpia harpyja",-39.08017,-16.42279
"Harpia harpyja",-69.23609,2.73004
"Harpia harpyja",-72.5666,2.56283
"Harpia harpyja",-59.22545,3.29753
"Harpia harpyja",-40.64864,-20.56392
"Harpia harpyja",-59.82994,-2.89024
"Harpia harpyja",-50.32631,-6.18011
"Harpia harpyja",-59.89214,-2.81913
"Harpia harpyja",-69.51987,-12.90363
"Harpia harpyja",-55.89385,-9.58418
"Harpia harpyja",-57.18554,-15.10446
"Harpia harpyja",-61.10856,-2.08002
"Harpia harpyja",-60.13083,-2.60056
"Harpia harpyja",-68.6274,-13.59402
"Harpia harpyja",-58.76711,3.64682
"Harpia harpyja",-56.60886,4.60433
"Harpia harpyja",-56.14152,-9.93661
"Harpia harpyja",-59.14074,3.48124
"Harpia harpyja",-59.14995,3.43493
"Harpia harpyja",-69.295,-12.838
"Harpia harpyja",-60.915,-13.6
"Harpia harpyja",-61.008,-13.535
"Harpia harpyja",-58.812,3.192
"Harpia harpyja",-59.563,3.359
"Harpia harpyja",-68.7,-12.517
"Harpia harpyja",-69.083,-13
"Harpia harpyja",-59.506,3.381
"Harpia harpyja",-76.43068,-0.3864
"Harpia harpyja",-76.41349,-0.71351
"Harpia harpyja",-76.16558,-0.05323
"Harpia harpyja",-77.86,8.55
"Harpia harpyja",-76.47187,-0.66332
"Harpia harpyja",-76.69363,-0.3091
"Harpia harpyja",-76.63347,-0.22235
"Harpia harpyja",-79.10753,0.58352
"Harpia harpyja",-77.60607,8.51509
"Harpia harpyja",-76.6254,-0.4116
"Harpia harpyja",-78.12234,8.54869
"Harpia harpyja",-76.59632,-0.26195
"Harpia harpyja",-78.12752,8.1096
"Harpia harpyja",-76.57602,-0.4984
"Harpia harpyja",-77.7643,8.18252
"Harpia harpyja",-79.79183,9.10971
"Harpia harpyja",-76.07635,-0.10502
"Harpia harpyja",-76.54618,-0.21617
"Harpia harpyja",-76.54463,-0.42626
"Harpia harpyja",-77.73542,8.10552
"Harpia harpyja",-79.7881,9.00805
"Harpia harpyja",-74.45149,1.55983
"Harpia harpyja",-77.23935,6.33289
"Harpia harpyja",-75.60365,-0.38521
"Harpia harpyja",-76.4636,-0.53013
"Harpia harpyja",-77.88112,8.24048
"Harpia harpyja",-77.7711,8.34905
"Harpia harpyja",-77.78625,8.08274
"Harpia harpyja",-77.60845,8.17454
"Harpia harpyja",-77.36973,6.31404
"Harpia harpyja",-77.95551,8.03333
"Harpia harpyja",-77.399,-1.035
"Harpia harpyja",-77.33559,6.36388
"Harpia harpyja",-79.70212,9.17455
"Harpia harpyja",-76.49645,-0.57745
"Harpia harpyja",-77.66219,8.33994
"Harpia harpyja",-77.9861,8.70102
"Harpia harpyja",-77.67844,8.12844
"Harpia harpyja",-78.23407,7.87331
"Harpia harpyja",-79.06,0.45
"Harpia harpyja",-77.62629,7.86343
"Harpia harpyja",-76.26739,-0.43061
"Harpia harpyja",-79.13573,0.48377
"Harpia harpyja",-77.41883,8.36834
"Harpia harpyja",-77.67592,8.2064
"Harpia harpyja",-77.75071,8.72872
"Harpia harpyja",-76.731,-1.004
"Harpia harpyja",-75.43058,-0.9768
"Harpia harpyja",-77.9997,8.1506
"Harpia harpyja",-77.8681,8.6032
"Harpia harpyja",-79.7667,9.1667
"Harpia harpyja",-76.03063,-0.12462
"Harpia harpyja",-77.97779,8.51566
"Harpia harpyja",-77.79507,8.02647
"Harpia harpyja",-76.34353,-0.48983
"Harpia harpyja",-77.30477,-1.14714
"Harpia harpyja",-76.13023,-0.5247
"Harpia harpyja",-74.4739,6.48886
"Harpia harpyja",-77.27054,6.031
"Harpia harpyja",-78.06133,8.38607
"Harpia harpyja",-77.6568,8.03763
"Harpia harpyja",-76.03744,-0.01642
"Harpia harpyja",-76.11299,-0.58412
"Harpia harpyja",-77.6253,8.78123
"Harpia harpyja",-77.74712,7.96071
"Harpia harpyja",-77.74176,8.02205
"Harpia harpyja",-60.96456,7.42719
"Harpia harpyja",-55.36478,5.75983
"Harpia harpyja",-55.21513,5.51433
"Harpia harpyja",-54.81897,5.62807
"Harpia harpyja",-61.70871,8.08432
"Harpia harpyja",-61.60835,7.8874
"Harpia harpyja",-61.6714,8.1101
"Harpia harpyja",-61.87103,8.1641
"Harpia harpyja",-62.54496,6.23805
"Harpia harpyja",-61.66667,8.05
"Harpia harpyja",-61.79501,7.85573
"Harpia harpyja",-61.69496,7.95606
"Harpia harpyja",-59.6667,3.3334
"Harpia harpyja",-59.5594,3.417
"Harpia harpyja",-49.504025,-27.160824
"Harpia harpyja",-49.028596,-27.705135
"Harpia harpyja",-76.05803,7.910582
"Harpia harpyja",-52.246641,-15.977138
"Harpia harpyja",-52.08782,-17.73696
"Harpia harpyja",-40.049486,-12.267403
"Harpia harpyja",-79.366621,-0.583409
"Harpia harpyja",-47.5335,-20.178839
"Harpia harpyja",-42.988903,-22.474161
"Harpia harpyja",-89.0477,16.420401
"Harpia harpyja",-77.728721,7.768338
"Harpia harpyja",-50.416667,2
"Harpia harpyja",-89.146005,16.893188
"Harpia harpyja",-71.316651,-11.850074
"Harpia harpyja",-68.64975,-9.249613
"Harpia harpyja",-54.537248,-25.699139
"Harpia harpyja",-54.348624,-26.532589
"Harpia harpyja",-54.459797,-24.813085
"Harpia harpyja",-39.430222,-13.38638
"Harpia harpyja",-93.673447,16.981196
"Harpia harpyja",-84.860294,15.633758
"Harpia harpyja",-78.611506,0.552251
"Harpia harpyja",-59.735827,3.166983
"Harpia harpyja",-56.332642,-1.335039
"Harpia harpyja",-48.085689,-25.190406
"Harpia harpyja",-65.409839,-3.139541
"Harpia harpyja",-64.916631,-2.866709
"Harpia harpyja",-55.372629,-24.132562
"Harpia harpyja",-54.696711,-25.074913
"Harpia harpyja",-84.733085,15.860932
"Harpia harpyja",-62.8852,7.4436
"Harpia harpyja",-62.654,7.2499
"Harpia harpyja",-62.4945,6.8073
"Harpia harpyja",-62.4644,6.6381
"Harpia harpyja",-62.4367,6.7089
"Harpia harpyja",-62.4032,8.2507
"Harpia harpyja",-62.2171,8.0897
"Harpia harpyja",-62.1098,7.6997
"Harpia harpyja",-62.0427,8.1146
"Harpia harpyja",-61.9836,8.0779
"Harpia harpyja",-61.9186,7.7509
"Harpia harpyja",-61.8433,7.8654
"Harpia harpyja",-61.6908,8.1694
"Harpia harpyja",-61.6454,7.3312
"Harpia harpyja",-61.5657,8.2913
"Harpia harpyja",-61.5459,7.6397
"Harpia harpyja",-61.5424,8.2328
"Harpia harpyja",-61.5327,8.3576
"Harpia harpyja",-61.5061,8.4286
"Harpia harpyja",-61.428,8.267
"Harpia harpyja",-61.4099,7.3934
"Harpia harpyja",-61.1362,7.5097
"Harpia harpyja",-61.0294,7.6522
"Harpia harpyja",-60.8748,7.5308
"Harpia harpyja",-48.1666667,-3.75
"Harpia harpyja",-90.966824,16.883262
"Harpia harpyja",-69.616661,-13.133365
"Harpia harpyja",-88.884784,16.060501
"Harpia harpyja",-75.78,-0.3114
"Harpia harpyja",-69.305881,-12.774502
"Harpia harpyja",-48.15506,-4.976169
"Harpia harpyja",-83.542951,8.535226
"Harpia harpyja",-67.766615,-12.516729
"Harpia harpyja",-42.533397,-19.641462
"Harpia harpyja",-41.820158,-19.727751
"Harpia harpyja",-79.121274,0.689093
"Harpia harpyja",-78.049897,8.233289
"Harpia harpyja",-48.324722,-6.839069
"Harpia harpyja",-74.5928,-5.201307
"Harpia harpyja",-69.3656,-12.8496
"Harpia harpyja",-69.2167,-12.7167
"Harpia harpyja",-60.9833,-3.7
"Harpia harpyja",-60.8833,-3.6656
"Harpia harpyja",-60.8,-3.6167
"Harpia harpyja",-60.66,-3.5466
"Harpia harpyja",-60.0982,-3.6998
"Harpia harpyja",-59.97,-3.0058
"Harpia harpyja",-59.7689,-2.4456
"Harpia harpyja",-56.57,-2.6262
"Harpia harpyja",-56.51,-2.7044
"Harpia harpyja",-56.49,-2.5911
"Harpia harpyja",-55.664557,-15.445085
"Harpia harpyja",-54.92,-2.7194
"Harpia harpyja",-54.621213,-25.687219
"Harpia harpyja",-52.389449,-3.595191
"Harpia harpyja",-49.26,-3.7255
"Harpia harpyja",-48.31,-3.7966
"Harpia harpyja",-84.314379,10.95969
"Harpia harpyja",-61.68358,-1.883365
"Harpia harpyja",-58.730213,4.363154
"Harpia harpyja",-56.6167,-21.1
"Harpia harpyja",-50.000833,-9.403611
"Harpia harpyja",-79.67353,9.097916
"Harpia harpyja",-78.215883,8.690625
"Harpia harpyja",-75.8333,-0.1167
"Harpia harpyja",-48.671112,-15.523912
"Harpia harpyja",-47.006944,-19.885
"Harpia harpyja",-78.7997,0.8679
"Harpia harpyja",-73.556,-3.928
"Harpia harpyja",-65.344942,9.033056
"Harpia harpyja",-62.915454,9.91255
"Harpia harpyja",-53.312251,3.844283
"Harpia harpyja",-48.806326,-27.920901
"Harpia harpyja",-46.422345,-9.590857
"Harpia harpyja",-76.1333333,-0.6333333
"Harpia harpyja",-69.601268,-12.998171
"Harpia harpyja",-67.763862,-10.238098
"Harpia harpyja",-61.192773,-14.784324
"Harpia harpyja",-59.626111,-1.605278
"Harpia harpyja",-58.86764,-15.341083
"Harpia harpyja",-56.827019,-20.572505
"Harpia harpyja",-83.505652,10.429611
"Harpia harpyja",-75.531369,-0.33364
"Harpia harpyja",-63.607093,6.356682
"Harpia harpyja",-60.090132,-1.747709
"Harpia harpyja",-55.77266,-15.448213
"Harpia harpyja",-55.639401,-12.367805
"Harpia harpyja",-52.413803,-13.523935
"Harpia harpyja",-39.9455838,-19.133915
"Harpia harpyja",-88.860399,16.627568
"Harpia harpyja",-79.724222,9.131032
"Harpia harpyja",-60.1075333,-2.3535167
"Harpia harpyja",-56.721734,2.356061
"Harpia harpyja",-56.1667,-16.5
"Harpia harpyja",-55.70112,-21.309271
"Harpia harpyja",-55.545363,-20.396734
"Harpia harpyja",-48.498085,-6.222874
"Harpia harpyja",-48.493172,-6.172936
"Harpia harpyja",-39.552033,-15.416536
"Harpia harpyja",-72.229173,6.155152
"Harpia harpyja",-71.97169,6.494795
"Harpia harpyja",-63.665921,-8.867192
"Harpia harpyja",-63.573048,-8.704578
"Harpia harpyja",-62.969221,-9.063896
"Harpia harpyja",-61.345973,1.841201
"Harpia harpyja",-56.688134,-16.480959
"Harpia harpyja",-54.800007,-9.670124
"Harpia harpyja",-54.252028,-9.816156
"Harpia harpyja",-51.078109,-7.07457
"Harpia harpyja",-63.759876,-8.469841
"Harpia harpyja",-63.669255,-8.497088
"Harpia harpyja",-62.072168,-9.753214
"Harpia harpyja",-61.728792,-10.60512
"Harpia harpyja",-61.371206,-5.700889
"Harpia harpyja",-61.084642,-3.015901
"Harpia harpyja",-61.01152,-3.519443
"Harpia harpyja",-60.195197,-14.889368
"Harpia harpyja",-60.089161,-13.631407
"Harpia harpyja",-60.044498,-2.051111
"Harpia harpyja",-59.899304,-2.925708
"Harpia harpyja",-57.913063,-15.3044
"Harpia harpyja",-57.600515,-19.200076
"Harpia harpyja",-57.468802,-17.667357
"Harpia harpyja",-56.71483,-10.298742
"Harpia harpyja",-56.702778,-21.265556
"Harpia harpyja",-56.489414,-10.190162
"Harpia harpyja",-56.376539,-10.019422
"Harpia harpyja",-55.988001,-9.246894
"Harpia harpyja",-55.119087,-11.143496
"Harpia harpyja",-54.932586,-2.578737
"Harpia harpyja",-49.950181,-9.322877
"Harpia harpyja",-48.999082,-2.896834
"Harpia harpyja",-48.852036,-15.792894
"Harpia harpyja",-48.382208,-10.706775
"Harpia harpyja",-48.222341,-7.074025
"Harpia harpyja",-40.549031,-19.876117
"Harpia harpyja",-76.433061,-4.901091
"Harpia harpyja",-64.407059,-12.359742
"Harpia harpyja",-61.59745,-8.605513
"Harpia harpyja",-61.511105,-12.435357
"Harpia harpyja",-60.010302,-2.923397
"Harpia harpyja",-58.440749,-2.608231
"Harpia harpyja",-56.899252,-16.948529
"Harpia harpyja",-56.845389,-16.818136
"Harpia harpyja",-52.578644,-3.664541
"Harpia harpyja",-52.393757,-3.52287
"Harpia harpyja",-51.935694,-3.515558
"Harpia harpyja",-51.917368,-3.397374
"Harpia harpyja",-51.818767,-3.599686
"Harpia harpyja",-51.742962,-3.194189
"Harpia harpyja",-50.007738,-6.053964
"Harpia harpyja",-49.879133,-3.845187
"Harpia harpyja",-48.994796,-5.538439
"Harpia harpyja",-46.764884,-3.889118
"Harpia harpyja",-46.684337,-3.593914
"Harpia harpyja",-77.507142,7.728461
"Harpia harpyja",-66.102219,-14.651153
"Harpia harpyja",-63.954351,-8.690631
"Harpia harpyja",-61.333514,0.55536
"Harpia harpyja",-60.697391,-12.561467
"Harpia harpyja",-60.142594,-12.91331
"Harpia harpyja",-60.063376,-2.627824
"Harpia harpyja",-60.006321,-2.021814
"Harpia harpyja",-58.469103,-10.483105
"Harpia harpyja",-56.798941,-9.32195
"Harpia harpyja",-56.615418,-9.756718
"Harpia harpyja",-56.550176,-9.586056
"Harpia harpyja",-56.363442,-9.656386
"Harpia harpyja",-55.989792,-14.435714
"Harpia harpyja",-55.660807,-11.884952
"Harpia harpyja",-55.578357,-11.921917
"Harpia harpyja",-54.751878,-11.621775
"Harpia harpyja",-51.763525,-10.20983
"Harpia harpyja",-51.564492,-3.110526
"Harpia harpyja",-51.459413,-3.582407
"Harpia harpyja",-50.630469,-9.64061
"Harpia harpyja",-50.593565,-3.537878
"Harpia harpyja",-50.408167,-6.190156
"Harpia harpyja",-50.197606,-4.337173
"Harpia harpyja",-49.634793,-10.090032
"Harpia harpyja",-39.137302,-16.341623
"Harpia harpyja",-70.778478,-8.168754
"Harpia harpyja",-64.016099,-9.096334
"Harpia harpyja",-62.2188,-10.7251
"Harpia harpyja",-61.933642,-10.220167
"Harpia harpyja",-61.8446,-11.4781
"Harpia harpyja",-61.7947,-11.3749
"Harpia harpyja",-61.5769,-11.4167
"Harpia harpyja",-59.936536,-2.963637
"Harpia harpyja",-59.725553,-2.829389
"Harpia harpyja",-59.446454,-10.176821
"Harpia harpyja",-56.774103,-8.94742
"Harpia harpyja",-56.75982,-20.880708
"Harpia harpyja",-55.844323,-10.805889
"Harpia harpyja",-55.501054,-11.736143
"Harpia harpyja",-53.936912,-27.206572
"Harpia harpyja",-53.459574,-1.60265
"Harpia harpyja",-52.928164,-3.735022
"Harpia harpyja",-52.762134,0.233329
"Harpia harpyja",-52.380797,-12.423793
"Harpia harpyja",-52.086142,-2.902396
"Harpia harpyja",-51.984367,-2.815836
"Harpia harpyja",-51.677472,-1.977489
"Harpia harpyja",-51.252813,-3.472495
"Harpia harpyja",-50.738514,-1.814777
"Harpia harpyja",-50.612616,-6.16941
"Harpia harpyja",-50.476444,-6.191462
"Harpia harpyja",-50.460663,-13.559624
"Harpia harpyja",-50.38309,-6.025314
"Harpia harpyja",-50.248499,-7.977546
"Harpia harpyja",-50.198786,-9.834702
"Harpia harpyja",-50.061653,-6.191101
"Harpia harpyja",-48.494558,-8.006239
"Harpia harpyja",-47.221809,-2.853059
"Harpia harpyja",-40.080565,-19.020832
"Harpia harpyja",-39.252409,-16.488535
"Harpia harpyja",-59.61,-9.946
"Harpia harpyja",-58.7001,-9.7072
"Harpia harpyja",-58.3804,-9.8562
"Harpia harpyja",-58.3626,-9.9903
"Harpia harpyja",-58.3468,-11.0333
"Harpia harpyja",-58.3075,-10.2068
"Harpia harpyja",-58.3063,-9.8501
"Harpia harpyja",-58.3023,-9.7834
"Harpia harpyja",-58.2807,-9.9938
"Harpia harpyja",-58.2803,-9.6873
"Harpia harpyja",-58.0374,-9.9999
"Harpia harpyja",-57.9309,-15.1275
"Harpia harpyja",-57.9111,-10.0433
"Harpia harpyja",-57.8731,-9.8323
"Harpia harpyja",-57.8121,-10.0445
"Harpia harpyja",-57.7668,-9.5496
"Harpia harpyja",-57.6443,-9.3839
"Harpia harpyja",-57.1722,-9.8828
"Harpia harpyja",-56.6842,-9.801
"Harpia harpyja",-56.3682,-9.8267
"Harpia harpyja",-55.6666,-10.9364
"Harpia harpyja",-55.6159,-11.6015
"Harpia harpyja",-54.2759,-12.3273
"Harpia harpyja",-54.392055,-25.56663
"Harpia harpyja",-53.06714,-25.423455
"Harpia harpyja",-52.725415,-25.505134
"Harpia harpyja",-52.153867,-27.41996
"Harpia harpyja",-51.863304,-26.402097
"Harpia harpyja",-44.729143,-23.311734
"Harpia harpyja",-40.553339,-19.740151
"Harpia harpyja",-40.481277,-19.454335
"Harpia harpyja",-39.907922,-15.869288
"Harpia harpyja",-39.844664,-16.025744
"Harpia harpyja",-64.916135,-2.958719
"Harpia harpyja",-63.106929,-2.296579
"Harpia harpyja",-61.225017,1.208957
"Harpia harpyja",-56.159929,-1.639741
"Harpia harpyja",-55.566936,-3.196756
